id,title,artist,genre,region,mood,energy,tempo_bpm,valence,danceability,acousticness
83,Yo Pe - Remix,Innoss'B,rumba,central africa,happy,0.838,182.8,0.818,0.472,0.13
84,Better Days,FRANCO,rumba,central africa,intense,0.799,172.9,0.482,0.383,0.023
85,Jerusalema (feat. Nomcebo Zikode),Master KG,amapiano,southern africa,relaxed,0.483,124.0,0.827,0.88,0.018
86,"Kwenzakalan (feat. Uncool MC, Scotts Maphuma, LeeMcKrazy & Tumilemang)",Kabza De Small,amapiano,southern africa,chill,0.513,112.0,0.312,0.797,0.242
87,"Imiyalo (feat. Thatohatsi, Tracy & Kabza De Small)",DJ Maphorisa,amapiano,southern africa,intense,0.712,113.0,0.545,0.794,0.017
88,Beyoncé Baby,Focalistic,amapiano,southern africa,intense,0.762,112.9,0.486,0.718,0.345
89,PUSH 2 START,Tyla,amapiano,southern africa,happy,0.814,93.5,0.758,0.683,0.277
90,Ndi Rine,Sho Madjozi,gqom,southern africa,intense,0.795,114.6,0.395,0.576,0.002
91,Said,Nasty C,hip hop,southern africa,intense,0.607,103.0,0.565,0.793,0.691
92,Keep Moving,Black Coffee,house,southern africa,relaxed,0.545,125.0,0.803,0.844,0.487
93,Mbube (Wimoweh),Ladysmith Black Mambazo,isicathamiya,southern africa,relaxed,0.499,102.4,0.657,0.552,0.94
94,Hapo Zamani,Miriam Makeba,afropop,southern africa,happy,0.636,100.4,0.686,0.588,0.294
95,Quién dijo,Zahara,afro soul,southern africa,moody,0.232,86.5,0.063,0.267,0.838
96,Ray'a,Amr Diab,arabic pop,north africa & middle east,happy,0.865,103.5,0.846,0.761,0.263
97,Inta Eyh,Nancy Ajram,arabic pop,north africa & middle east,happy,0.716,136.0,0.776,0.744,0.077
98,KOL YOM AHLA YOM,Elissa,arabic pop,north africa & middle east,intense,0.743,120.0,0.591,0.66,0.331
99,الذوق العالي,Tamer Hosny,arabic pop,north africa & middle east,happy,0.908,133.0,0.95,0.742,0.243
100,Guli Mata,Saad Lamjarred,arabic pop,north africa & middle east,happy,0.749,151.5,0.604,0.589,0.501
101,Bektoub Ismak Ya Habibi,Fairuz,arabic classical,north africa & middle east,chill,0.174,85.3,0.566,0.617,0.973
102,Baeed Annak,Umm Kulthum,arabic classical,north africa & middle east,chill,0.491,83.2,0.488,0.352,0.654
103,Mírame a la Cara,Khaled,rai,north africa & middle east,happy,0.885,100.0,0.743,0.816,0.301
104,البخت,Wegz,hip hop,north africa & middle east,relaxed,0.59,105.0,0.66,0.78,0.487
105,Ya Habibi,Mohamed Ramadan,arabic pop,north africa & middle east,happy,0.869,110.1,0.883,0.888,0.443
106,Şerbetli,Tarkan,turkish pop,north africa & middle east,intense,0.854,99.9,0.553,0.66,0.153
107,Unuttun mu Beni,Sezen Aksu,turkish pop,north africa & middle east,happy,0.784,98.0,0.723,0.662,0.118
108,EL CLúB,Bad Bunny,reggaeton,latin america,intense,0.611,110.7,0.261,0.516,0.458
109,Bonita,J Balvin,reggaeton,latin america,happy,0.867,96.0,0.869,0.775,0.013
110,TQG,KAROL G,reggaeton,latin america,happy,0.647,90.1,0.686,0.587,0.619
111,Quiero Repetir,Ozuna,reggaeton,latin america,intense,0.753,97.6,0.482,0.608,0.103
112,Cosas Pendientes,Maluma,reggaeton,latin america,happy,0.67,82.0,0.78,0.835,0.261
113,Dai Dai,Shakira,latin pop,latin america,relaxed,0.596,116.0,0.631,0.864,0.139
114,Ahora Te Puedes Marchar,Luis Miguel,latin pop,latin america,happy,0.877,133.3,0.909,0.78,0.148
115,Tequila,Juanes,latin rock,latin america,happy,0.688,156.0,0.704,0.757,0.226
116,Entre Caníbales - Remasterizado 2007,Soda Stereo,latin rock,latin america,happy,0.608,112.3,0.604,0.551,0.006
117,Soledad y el Mar (feat. Los Macorinos),Natalia Lafourcade,latin folk,latin america,relaxed,0.177,92.9,0.618,0.726,0.896
118,gervonta,Peso Pluma,regional mexican,latin america,happy,0.698,121.1,0.723,0.732,0.552
119,EL AMOR DE SU VIDA,Grupo Frontera,regional mexican,latin america,happy,0.834,151.7,0.746,0.616,0.06
120,Robarte un Beso,Carlos Vives,vallenato,latin america,happy,0.859,95.0,0.652,0.742,0.082
121,Amor y Control (Live),Ruben Blades,salsa,latin america,happy,0.648,89.7,0.74,0.611,0.712
122,Parecen Viernes,Marc Anthony,salsa,latin america,happy,0.863,96.5,0.967,0.658,0.287
123,Mi Vida Es Cantar,Celia Cruz,salsa,latin america,happy,0.749,95.0,0.961,0.814,0.479
124,Não Me Cutuca,Anitta,brazilian funk,latin america,happy,0.877,106.0,0.732,0.762,0.245
125,Voce E Linda - Remixed Original Album,Caetano Veloso,mpb,latin america,chill,0.458,95.1,0.449,0.568,0.815
126,Toda Menina Baiana,Gilberto Gil,mpb,latin america,happy,0.897,106.2,0.968,0.692,0.236
127,Eu Vou Torcer,Jorge Ben Jor,samba,latin america,relaxed,0.484,157.5,0.977,0.676,0.398
128,Samba de regunta,João Gilberto,bossa nova,latin america,chill,0.176,112.8,0.434,0.412,0.851
129,Turn Your Lights Down Low,Bob Marley,reggae,caribbean,happy,0.668,83.1,0.713,0.733,0.014
130,Columbus - 2002 Remastered Version,Burning Spear,reggae,caribbean,relaxed,0.446,152.1,0.928,0.682,0.316
131,Don't Be Afraid,Chronixx,reggae,caribbean,happy,0.604,139.6,0.887,0.777,0.017
132,The Harder They Fall,Koffee,reggae,caribbean,happy,0.885,110.6,0.828,0.743,0.001
133,Welcome To Jamrock,Damian Marley,reggae,caribbean,happy,0.661,76.7,0.753,0.836,0.021
134,We Be Burnin',Sean Paul,dancehall,caribbean,happy,0.803,117.0,0.86,0.95,0.145
135,Blessed,Buju Banton,dancehall,caribbean,relaxed,0.529,74.7,0.749,0.491,0.462
136,Hit & Run (feat. Masicka & Di Genius),Shenseea,dancehall,caribbean,happy,0.639,95.0,0.701,0.823,0.193
137,Like Ah Boss,Machel Montano,soca,caribbean,happy,0.944,134.0,0.746,0.804,0.105
138,Cocoa Tea,Kes,soca,caribbean,happy,0.744,106.0,0.805,0.817,0.189
139,Aasan Nahin Yahan,Arijit Singh,bollywood,south asia,moody,0.437,94.0,0.235,0.548,0.766
140,Elangathu - Duet,Shreya Ghoshal,bollywood,south asia,relaxed,0.479,144.0,0.739,0.694,0.358
141,Neethanae,A.R. Rahman,bollywood,south asia,chill,0.442,74.0,0.53,0.57,0.716
142,"Dil To Pagal Hai (From ""Dil To Pagal Hai"")",Lata Mangeshkar,bollywood,south asia,happy,0.67,110.7,0.748,0.752,0.306
143,Yaad Piya Ki Aane Lagi,Neha Kakkar,bollywood,south asia,happy,0.833,108.0,0.693,0.858,0.375
144,"Dahaa Theme (From ""Coolie"")",Anirudh Ravichander,tamil pop,south asia,happy,0.665,173.9,0.615,0.734,0.043
145,"Nandanandanaa (From ""The Family Star"")",Sid Sriram,tamil pop,south asia,relaxed,0.519,117.0,0.856,0.841,0.273
146,Tension,Diljit Dosanjh,punjabi,south asia,relaxed,0.593,96.0,0.711,0.875,0.049
147,East Side Flow,Sidhu Moose Wala,punjabi,south asia,happy,0.867,152.0,0.786,0.767,0.109
148,Excuses,AP Dhillon,punjabi,south asia,intense,0.717,95.0,0.494,0.837,0.084
149,Dil Diyan Gallan,Atif Aslam,pakistani pop,south asia,intense,0.64,105.0,0.485,0.717,0.565
150,Gardashon Ke Hain Mare Huye - Complete Original Version,Nusrat Fateh Ali Khan,qawwali,south asia,happy,0.783,108.4,0.791,0.501,0.515
151,Kempegowda,Ravi Shankar,hindustani,south asia,happy,0.855,110.0,0.773,0.776,0.471
152,NORMAL,BTS,k-pop,east asia,happy,0.774,73.1,0.651,0.464,0.206
153,GO,BLACKPINK,k-pop,east asia,chill,0.589,103.1,0.203,0.611,0.023
154,Do It,Stray Kids,k-pop,east asia,happy,0.922,105.0,0.734,0.766,0.138
155,Super Shy,NewJeans,k-pop,east asia,intense,0.817,149.9,0.515,0.776,0.18
156,"LET LOVE GO (JEONGYEON, MOMO, SANA, TZUYU)",TWICE,k-pop,east asia,happy,0.778,122.0,0.783,0.772,0.005
157,"LOVE, MONEY, FAME (feat. DJ Khaled)",SEVENTEEN,k-pop,east asia,happy,0.703,100.0,0.789,0.87,0.041
158,擱淺,Jay Chou,mandopop,east asia,chill,0.5,122.7,0.127,0.499,0.687
159,甜蜜蜜,Teresa Teng,mandopop,east asia,chill,0.356,127.9,0.408,0.651,0.559
160,修煉愛情,JJ Lin,mandopop,east asia,intense,0.634,135.0,0.232,0.433,0.626
161,BOW AND ARROW,Kenshi Yonezu,j-pop,east asia,happy,0.884,180.0,0.693,0.604,0.029
162,アイドル,YOASOBI,j-pop,east asia,happy,0.941,165.8,0.876,0.457,0.105
163,Shinunoga E-Wa,Fujii Kaze,j-pop,east asia,intense,0.76,158.1,0.519,0.6,0.166
164,RATATATA,BABYMETAL,j-metal,east asia,happy,0.889,140.0,0.666,0.559,0.0
165,Introvert (feat. Joji),Rich Brian,hip hop,southeast asia,happy,0.686,110.0,0.632,0.836,0.14
166,Take A Chance With Me,NIKI,indie pop,southeast asia,chill,0.417,93.9,0.52,0.628,0.841
167,Monokrom,Tulus,indo pop,southeast asia,chill,0.462,88.0,0.519,0.534,0.573
168,Tetap Bukan Kamu (feat. Rony Parulian),Raisa,indo pop,southeast asia,moody,0.419,139.8,0.38,0.406,0.872
169,Sebuah Rasa,AGNEZ MO,indo pop,southeast asia,moody,0.244,79.1,0.122,0.244,0.736
170,Sa Susunod na Habang Buhay,Ben&Ben,opm,southeast asia,moody,0.342,177.2,0.274,0.311,0.432
171,"Babalik Sa'yo (from ""2 Good 2 Be True"")",Moira Dela Torre,opm,southeast asia,happy,0.65,157.9,0.695,0.515,0.168
172,"Maybe This Time - From ""Maybe This Time""",Sarah Geronimo,opm,southeast asia,moody,0.271,133.8,0.182,0.497,0.706
173,Lover Boy,Phum Viphurit,indie pop,southeast asia,relaxed,0.556,110.0,0.627,0.798,0.527
174,Easy On Me,Adele,pop,europe,moody,0.366,142.0,0.13,0.604,0.578
175,In Other Words,Ed Sheeran,pop,europe,moody,0.218,82.1,0.323,0.651,0.937
176,Higher Power,Coldplay,rock,europe,intense,0.828,178.0,0.489,0.507,0.007
177,Break My Heart,Dua Lipa,pop,europe,intense,0.729,113.0,0.467,0.73,0.167
178,Alors on danse - Radio Edit,Stromae,french pop,europe,relaxed,0.593,120.0,0.72,0.79,0.098
179,Copines,Aya Nakamura,french pop,europe,happy,0.787,180.0,0.904,0.701,0.27
180,La vie en rose,Édith Piaf,chanson,europe,chill,0.302,82.5,0.422,0.39,0.984
181,One More Time,Daft Punk,electronic,europe,intense,0.697,122.7,0.476,0.613,0.019
182,Love Is Gone,David Guetta,electronic,europe,happy,0.796,128.0,0.638,0.651,0.011
183,Dile,Rosalia,flamenco pop,europe,happy,0.903,175.5,0.866,0.502,0.855
184,Cruel Summer,Maneskin,rock,europe,happy,0.679,147.9,0.7,0.618,0.353
185,Amerika,Rammstein,metal,europe,intense,0.885,125.0,0.518,0.608,0.003
186,The Model - 2009 Remaster,Kraftwerk,electronic,europe,intense,0.683,123.6,0.463,0.708,0.001
187,Dancing Queen,ABBA,pop,europe,happy,0.87,100.8,0.754,0.543,0.358
188,Father Figure,Taylor Swift,pop,north america,intense,0.661,93.9,0.321,0.745,0.302
189,Timeless (feat Playboi Carti),The Weeknd,synthpop,north america,happy,0.775,120.0,0.6,0.768,0.069
190,Leave The Door Open,Bruno Mars,funk,north america,happy,0.616,148.1,0.719,0.586,0.182
191,lovely (with Khalid),Billie Eilish,pop,north america,moody,0.296,115.3,0.12,0.351,0.934
192,"jealousy, jealousy",Olivia Rodrigo,pop rock,north america,relaxed,0.575,163.9,0.699,0.695,0.198
193,tv off (feat. lefty gunplay),Kendrick Lamar,hip hop,north america,chill,0.529,100.0,0.548,0.855,0.084
194,Practice,Drake,hip hop,north america,moody,0.239,104.7,0.31,0.446,0.574
195,Saturn,SZA,r&b,north america,chill,0.577,89.1,0.328,0.557,0.64
196,White Ferrari,Frank Ocean,r&b,north america,moody,0.096,108.7,0.204,0.501,0.77
197,The Little Drummer Boy,Stevie Wonder,soul,north america,moody,0.448,134.5,0.35,0.523,0.442
198,You're All I Need to Get By,Aretha Franklin,soul,north america,intense,0.612,89.5,0.421,0.517,0.624
199,Ballad Of A Teenage Queen,Johnny Cash,country,north america,relaxed,0.469,98.0,0.603,0.676,0.578
200,We Three Kings,Dolly Parton,country,north america,moody,0.294,53.0,0.347,0.29,0.498
201,High Speed Chase,Miles Davis,jazz,north america,happy,0.866,135.9,0.6,0.697,0.0
202,"Alabama - Live At Birdland Jazzclub, New York City, NY, 10/18/1963",John Coltrane,jazz,north america,moody,0.077,107.7,0.112,0.428,0.774
203,Aneurysm,Nirvana,rock,north america,intense,0.823,135.6,0.235,0.298,0.0
204,...And Justice For All,Metallica,metal,north america,intense,0.799,86.6,0.409,0.547,0.0
205,Dracula,Tame Impala,psych rock,oceania,happy,0.731,114.8,0.612,0.415,0.027
206,Snowflake,Sia,pop,oceania,moody,0.354,134.2,0.183,0.598,0.444
207,Back In Black,AC/DC,rock,oceania,happy,0.7,188.4,0.763,0.31,0.011
208,Santa Baby,Kylie Minogue,pop,oceania,chill,0.391,87.1,0.443,0.685,0.744
209,The Ocean Is Fake,Flume,electronic,oceania,intense,0.858,84.8,0.537,0.388,0.22
210,Shapeshifter,Lorde,art pop,oceania,intense,0.632,139.9,0.304,0.574,0.41
211,We Made It,SIX60,pop,oceania,happy,0.629,80.0,0.781,0.768,0.608
212,Take It Easy,Stan Walker,r&b,oceania,happy,0.802,90.0,0.905,0.699,0.144
213,Msumari,Diamond Platnumz,bongo,east africa,intense,0.642,91.0,0.545,0.788,0.598
214,Amelowa,Harmonize,bongo,east africa,happy,0.715,103.0,0.777,0.879,0.468
215,Yaya (feat. Diamond Platnumz & Jux),Rayvanny,bongo,east africa,happy,0.871,112.0,0.678,0.809,0.134
216,Mahaba,Alikiba,bongo,east africa,relaxed,0.478,113.3,0.661,0.891,0.617
217,Wale Wale (feat. Diamond Platnumz),Zuchu,bongo,east africa,happy,0.793,120.0,0.796,0.832,0.342
218,Kupenda,Mbosso,bongo,east africa,happy,0.832,100.0,0.901,0.801,0.245
219,Number One,Nandy,bongo,east africa,happy,0.707,91.0,0.864,0.83,0.202
220,Love Song,Marioo,bongo,east africa,chill,0.539,111.9,0.541,0.659,0.562
221,Nisiulizwe,Jux,bongo,east africa,happy,0.757,170.0,0.848,0.496,0.17
222,Midnight Train,Sauti Sol,afropop,east africa,intense,0.773,100.0,0.527,0.698,0.034
223,Perfect Design,Nyashinski,afropop,east africa,relaxed,0.522,124.1,0.763,0.516,0.592
224,Mapenzi Hisia,Otile Brown,afropop,east africa,intense,0.684,88.0,0.512,0.684,0.107
225,Inauma,Bien,afropop,east africa,happy,0.673,97.0,0.632,0.73,0.13
226,Pombe Sigara,Nviiri The Storyteller,afropop,east africa,chill,0.546,91.0,0.513,0.708,0.205
227,Mario,Khaligraph Jones,hip hop,east africa,happy,0.814,108.1,0.898,0.752,0.413
228,Keki,Willy Paul,afropop,east africa,happy,0.661,91.0,0.689,0.806,0.155
229,Nyange,Eddy Kenzo,afropop,east africa,happy,0.683,101.0,0.805,0.889,0.245
230,Nkwatako,Sheebah Karungi,afropop,east africa,happy,0.916,102.0,0.837,0.827,0.071
231,Missing You,Bebe Cool,afropop,east africa,relaxed,0.54,81.0,0.671,0.722,0.22
232,Be 70 Dereja,Teddy Afro,ethio pop,east africa,happy,0.798,144.0,0.872,0.641,0.018
233,Eshururu,Aster Aweke,ethio pop,east africa,relaxed,0.586,170.1,0.96,0.676,0.462
234,Kasalefkut-hulu - Stereo Master,Mulatu Astatke,ethio jazz,east africa,relaxed,0.303,82.8,0.856,0.685,0.583
235,For My Hand (feat. Ed Sheeran),Burna Boy,afrobeats,west africa,relaxed,0.479,104.1,0.717,0.87,0.161
236,Break Me Down,Wizkid,afrobeats,west africa,intense,0.627,97.4,0.535,0.633,0.171
237,Like Dat,Davido,afrobeats,west africa,intense,0.754,113.0,0.407,0.865,0.247
238,FUN,Rema,afrobeats,west africa,intense,0.838,125.1,0.396,0.684,0.509
239,MMS,Asake,afrobeats,west africa,happy,0.634,101.8,0.645,0.502,0.677
240,Hot Body,Ayra Starr,afrobeats,west africa,intense,0.706,103.7,0.311,0.534,0.085
241,Free Mind,Tems,afrobeats,west africa,chill,0.463,125.2,0.416,0.562,0.442
242,Playboy,Fireboy DML,afrobeats,west africa,happy,0.667,155.1,0.831,0.541,0.347
243,Holy Ghost,Omah Lay,afrobeats,west africa,chill,0.415,114.0,0.488,0.823,0.471
244,Stamina,Tiwa Savage,afrobeats,west africa,happy,0.605,114.4,0.665,0.661,0.093
245,love nwantiti (feat. ElGrande Toto) - North African Remix,CKay,afrobeats,west africa,intense,0.723,186.0,0.487,0.642,0.58
246,Baby,Joeboy,afrobeats,west africa,intense,0.806,105.0,0.539,0.785,0.142
247,Africa,Yemi Alade,afropop,west africa,happy,0.903,102.0,0.744,0.79,0.057
248,Legalize,Mr Eazi,afrobeats,west africa,intense,0.648,132.4,0.559,0.574,0.361
249,Adamma,Flavour,highlife,west africa,happy,0.991,116.3,0.684,0.736,0.273
250,Do Me - Deluxe,P-Square,afropop,west africa,happy,0.916,103.1,0.963,0.81,0.517
251,Ako,Fela Kuti,afrobeat,west africa,happy,0.796,119.6,0.881,0.753,0.208
252,Country Side (feat. Black Sherif),Sarkodie,hip hop,west africa,happy,0.816,126.0,0.721,0.867,0.096
253,Killa Ji Mi,Shatta Wale,dancehall,west africa,chill,0.531,185.5,0.336,0.487,0.015
254,My Name,Stonebwoy,dancehall,west africa,happy,0.632,131.7,0.701,0.572,0.335
255,So it Goes,Black Sherif,afrobeats,west africa,intense,0.638,145.8,0.568,0.686,0.45
256,Angels in Tibet,Amaarae,alte,west africa,intense,0.664,140.0,0.555,0.798,0.282
257,On l'a fait!,Youssou N'Dour,mbalax,west africa,happy,0.73,124.0,0.722,0.729,0.486
258,Africa,Salif Keita,mande,west africa,happy,0.893,111.0,0.939,0.757,0.274
259,JERUSALEMA,Angelique Kidjo,afropop,west africa,moody,0.457,120.0,0.245,0.511,0.299
260,Cler Achel,Tinariwen,desert blues,west africa,happy,0.797,98.6,0.926,0.685,0.506
261,Associé,Fally Ipupa,rumba,central africa,happy,0.77,93.9,0.759,0.612,0.531
262,Mbabula,Koffi Olomide,rumba,central africa,happy,0.664,105.0,0.896,0.75,0.156
263,Est-ce-que,Papa Wemba,rumba,central africa,happy,0.707,89.9,0.937,0.51,0.446
264,Sete,Innoss'B,rumba,central africa,happy,0.859,119.0,0.931,0.781,0.441
265,Castaway,FRANCO,rumba,central africa,intense,0.85,155.9,0.294,0.382,0.001
266,Shine Your Light (feat. Akon),Master KG,amapiano,southern africa,intense,0.781,123.0,0.399,0.763,0.027
267,"Lorch (feat. Semi Tee, Miano & Kammu Dee)",Kabza De Small,amapiano,southern africa,intense,0.681,113.0,0.408,0.913,0.17
268,"Mukondeleli (feat. Thatohatsi, LeeMcKrazy & CowBoii)",DJ Maphorisa,amapiano,southern africa,chill,0.568,112.0,0.568,0.775,0.029
269,Khekheleza (Dlala Dlala) [feat. Thama Tee & Eeque],Focalistic,amapiano,southern africa,happy,0.673,112.0,0.691,0.8,0.019
270,SHE DID IT AGAIN (feat. Zara Larsson),Tyla,amapiano,southern africa,happy,0.685,97.2,0.659,0.768,0.237
271,John Cena,Sho Madjozi,gqom,southern africa,happy,0.609,127.1,0.67,0.901,0.036
272,Head Up 2.0,Nasty C,hip hop,southern africa,chill,0.557,72.0,0.297,0.502,0.231
